Acid Splash~PHB~0~C~hurl bubble acid choose one creature see within range choose two creature see within range within 5 foot target must succeed dexterity save throw take damage acid damage~{'dice': ['1d6'], 'damage': ['1d6', '2d6', '3d6', '4d6'], 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Aid~PHB~2~A~spell bolster ally toughness resolve choose three creature within range target hit point maximum current hit point increase 5 duration~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Project Image~PHB~7~I~create illusory copy last duration copy appear location within range see regardless intervene obstacle illusion look sound like intangible illusion take damage disappears spell end use action move illusion twice speed make gesture speak behave whatever way choose mimic mannerism perfectly see eye hear ear space turn bonus action switch use sens use back use sens condition blind condition blind regard surroundings physical interaction image reveals illusion thing pass creature use action examine image determine illusion successful intelligence skill investigation check spell save dc creature discern illusion creature see image noise make sound hollow creature~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'blinded'}
Protection from Energy~PHB~3~A~duration willing creature touch resistance one damage type choice acid cold fire lightning thunder~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Protection from Evil and Good~PHB~1~A~spell end one willing creature touch protect certain type creature aberration celestials elementals fey fiend undead protection grant several benefit creature type disadvantage attack roll target target also cant condition charm condition charm possessed target already condition charm condition charm possessed creature target advantage new save throw relevant effect~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'new', 'conditions': 'charmed'}
Protection from Poison~PHB~2~A~touch creature condition poison neutralize poison one poison afflict target neutralize one poison know present neutralize one random duration target advantage save throw condition poison resistance poison damage~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'on', 'conditions': 'poisoned'}
Purify Food and Drink~PHB~1~T~nonmagical food drink within 5footradius sphere center point choice within range purify render free poison disease~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Raise Dead~PHB~5~N~return dead creature touch life provide dead longer 10 day creature soul willing liberty rejoin body creature return life 1 hit point spell also neutralizes poison cure nonmagical disease affected creature time die spell doesnt however remove magical disease curse similar effect arent first remove prior cast spell take effect creature return life spell cant return undead creature life spell close mortal wound doesnt restore miss body part creature lack body part organs integral survivalits head instancethe spell automatically fail come back dead ordeal target take 4 penalty attack roll save throw ability check every time target finish long rest penalty reduce 1 disappears~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Rary's Telepathic Bond~PHB~5~D~forge telepathic link among eight willing creature choice within range psychically linking creature others duration creatures intelligence score 2 le arent affect spell spell end target communicate telepathically bond whether common language communication possible distance though cant extend plane existence~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Ray of Enfeeblement~PHB~2~N~black beam enervate energy spring finger toward creature within range make range spell attack target hit target deal half damage weapon attack use strength spell end end target turn make constitution save throw spell success spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Constitution', 'conditions': 'None'}
Ray of Frost~PHB~0~V~frigid beam bluewhite light streak toward creature within range make range spell attack target hit take damage cold damage speed reduce 10 foot start next turn spell damage increase dice reach 5th level damage 11th level damage 17th level damage~{'dice': ['1d8'], 'damage': ['1d8', '2d8', '3d8', '4d8'], 'saving_throw_types': 'None', 'conditions': 'None'}
Ray of Sickness~PHB~1~N~ray sicken greenish energy lash toward creature within range make range spell attack target hit target take damage poison damage must make constitution save throw fail save also condition poison end next turn~{'dice': 'None', 'damage': ['2d8'], 'saving_throw_types': 'Constitution', 'conditions': 'poisoned'}
Regenerate~PHB~7~T~touch creature stimulate natural heal ability target regain dice hit point duration spell target regain 1 hit point start turn 10 hit point minute target sever body member finger legs tail restore 2 minute sever part hold stump spell instantaneously cause limb knit stump~{'dice': ['4d8 + 15'], 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Reincarnate~PHB~5~T~touch dead humanoid piece dead humanoid provide creature dead longer 10 day spell form new adult body call soul enter body target soul isnt free willing spell fail magic fashion new body creature inhabit likely cause creature race change dm roll dice d100 consults follow table determine form creature take restored life dm choose form dice d100 race col1 textcenter nowrap col11 race dragonborn race dwarf hilldwarf hill race dwarf mountaindwarf mountain race elf drowelf dark race elf highelf high race elf woodelf wood race gnome forestgnome forest race gnome rockgnome rock race halfelf race halforc race halfling lightfoothalfling lightfoot race halfling stouthalfling stout race human race tiefling reincarnated creature recall former life experience retain capability original form except exchange original race new one change racial trait accordingly~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Remove Curse~PHB~3~A~touch curse affect one creature object end object curse magic item curse remain spell break owner attunement object remove discard~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Resistance~PHB~0~A~touch one willing creature spell end target roll dice d4 add number roll one save throw choice roll die make save throw spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'the', 'conditions': 'None'}
Resurrection~PHB~7~N~touch dead creature dead century didnt die old age isnt undead soul free willing target return life hit point spell neutralizes poison cure normal disease afflict creature die doesnt however remove magical disease curse like effect arent remove prior casting spell afflict target return life spell close mortal wound restore miss body part come back dead ordeal target take 4 penalty attack roll save throw ability check every time target finish long rest penalty reduce 1 disappears cast spell restore life creature dead one year longer tax greatly finish long rest cant cast spell disadvantage attack roll ability check save throw~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'and', 'conditions': 'None'}
Reverse Gravity~PHB~7~T~spell reverse gravity 50footradius 100foothigh cylinder center point within range creature object arent somehow anchor ground area fall upward reach top area cast spell creature make dexterity save throw grab onto fix object reach thus avoid fall solid object ceiling encounter fall fall object creature strike would normal downward fall object creature reach top area without strike anything remain oscillate slightly duration end duration affect object creature fall back~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Dexterity', 'conditions': 'None'}
Revivify~PHB~3~N~touch creature die within last minute creature return life 1 hit point spell cant return life creature die old age restore miss body part~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Rope Trick~PHB~2~T~touch length rope 60 foot long one end rope rise air whole rope hang perpendicular ground upper end rope invisible entrance open extradimensional space last spell end extradimensional space reach climb top rope space hold many eight medium small creature rope pulled space make rope disappear view outside space attack spell cant cross entrance extradimensional space inside see 3footby5foot window center rope anything inside extradimensional space drop spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Sacred Flame~PHB~0~V~flamelike radiance descend creature see within range target must succeed dexterity save throw take damage radiant damage target gain benefit cover saving throw spell damage increase dice reach 5th level damage 11th level damage 17th level damage~{'dice': ['1d8'], 'damage': ['1d8', '2d8', '3d8', '4d8'], 'saving_throw_types': 'this', 'conditions': 'None'}
Sanctuary~PHB~1~A~ward creature within range attack spell end creature target ward creature attack harmful spell must first make wisdom save throw fail save creature must choose new target lose attack spell spell doesnt protect ward creature area effect explosion spell fireball warded creature make attack cast spell affect enemy deal damage another creature spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Wisdom', 'conditions': 'None'}
Scorching Ray~PHB~2~V~create three ray fire hurl target within range hurl one target several make range spell attack ray hit target take damage fire damage~{'dice': 'None', 'damage': ['2d6'], 'saving_throw_types': 'None', 'conditions': 'None'}
Scrying~PHB~5~D~see hear particular creature choose plane existence target must make wisdom save throw modify well know target sort physical connection target know youre cast spell fail save throw voluntarily want observed knowledge save modifier col11 col1 textcenter secondhand hear target 5 firsthand meet target 0 familiar know target well 5 connection save modifier col11 col1 textcenter likeness picture 2 possession garment 4 body part lock hair bit nail like 10 successful save target isnt affect cant use spell 24 hour fail save spell create invisible sensor within 10 foot target see hear sensor sensor move target remain within 10 foot duration creature see condition invisible object see sensor luminous orb size fist instead target creature choose location see target spell sensor appear location doesnt move~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'the', 'conditions': 'invisible'}
Searing Smite~PHB~1~V~next time hit creature melee weapon attack spell duration weapon flare whitehot intensity attack deal extra damage fire damage target cause target ignite flame start turn spell end target must make constitution save throw fail save take damage fire damage successful save spell end target creature within 5 foot uses action put flame effect douse flame target submerged water spell end~{'dice': 'None', 'damage': ['1d6', '1d6'], 'saving_throw_types': 'Constitution', 'conditions': 'None'}
See Invisibility~PHB~2~D~duration see condition invisible creature object visible see ethereal plane ethereal creature object appear ghostly translucent~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'invisible'}
Seeming~PHB~5~I~spell allow change appearance number creature see within range give target choose new illusory appearance unwilling target make charisma save throw succeed unaffected spell spell disguise physical appearance well clothe armor weapon equipment make creature seem 1 foot short taller appear thin fat cant change target body type must choose form basic arrangement limb otherwise extent illusion spell last duration unless use action dismiss sooner change work spell fail hold physical inspection example use spell add hat creatures outfit object pass hat anyone touch would feel nothing would feel creature head hair use spell appear thinner hand someone reach touch would bump seemingly still midair creature use action inspect target make intelligence skill investigation check spell save dc succeed becomes aware target disguise~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Charisma', 'conditions': 'None'}
Sending~PHB~3~V~send short message twentyfive word less creature familiar creature hear message mind recognize sender know answer like manner immediately spell enable creature intelligence score least 1 understand meaning message send message across distance even plan existence target different plane chance 5message lostmessage arrives chance message doesnt arrive~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Sequester~PHB~7~T~mean spell willing creature object hide away safe detection duration cast spell touch target become condition invisible cant target filter divination spellsspellsschoold perceive scry sensor create divination spell target creature fall state suspend animation time cease flow doesnt grow old set condition spell end early condition anything choose must occur visible within 1 mile target example include 1000 year creature tarrasque awakens spell also end target take damage~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'invisible'}
Shapechange~PHB~9~T~assume form different creature duration new form creature challenge rating equal level lower creature cant construct undead must see sort creature least transform average example creature one without class level spellcasting trait game statistic replace statistic chosen creature though retain alignment intelligence wisdom charisma score also retain skill save throw proficiency addition gain creature creature proficiency bonus list statistic higher use creature bonus place cant use legendary action lair action new form assume hit point hit dice new form revert normal form return number hit point transform revert result drop 0 hit point excess damage carry normal form long excess damage doesnt reduce normal form 0 hit point arent knock condition unconscious retain benefit feature class race source use provide new form physically capable cant use special sens example sense darkvision unless new form also sense speak creature normally speak transform choose whether equipment fall ground merge new form wear worn equipment function normal dm determines whether practical new form wear piece equipment base creature shape size equipment doesnt change shape size match new form equipment new form cant wear must either fall ground merge new form equipment merges effect state spell duration use action assume different form follow restriction rule original form one exception new form hit point current one hit point remain current value~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'and', 'conditions': 'unconscious'}
Shatter~PHB~2~V~sudden loud ring noise painfully intense erupts point choice within range creature 10footradius sphere center point must make constitution save throw creature take damage thunder damage fail save half much damage successful one creature make inorganic material stone crystal metal disadvantage save throw nonmagical object isnt worn carry also take damage spell area~{'dice': 'None', 'damage': ['3d8'], 'saving_throw_types': 'this', 'conditions': 'None'}
Shield~PHB~1~A~invisible barrier magical force appear protect start next turn 5 bonus ac include trigger attack take damage spell magic missile~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Shield of Faith~PHB~1~A~shimmer field appear surround creature choice within range grant 2 bonus ac duration~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Shillelagh~PHB~0~T~wood item clubphb item quarterstaffphb hold imbue nature power duration use spellcasting ability instead strength attack damage roll melee attack use weapon weapon damage die becomes dice d8 weapon also become magical isnt already spell end cast let go weapon~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Shocking Grasp~PHB~0~V~lightning spring hand deliver shock creature try touch make melee spell attack target advantage attack roll target wear armor make metal hit target take damage lightning damage cant take reaction start next turn spell damage increase dice reach 5th level damage 11th level damage 17th level damage~{'dice': ['1d8'], 'damage': ['1d8', '2d8', '3d8', '4d8'], 'saving_throw_types': 'None', 'conditions': 'None'}
Silence~PHB~2~I~duration sound create within pas 20footradius sphere center point choose within range creature object entirely inside sphere immune thunder damage creature condition deafen entirely inside cast spell include verbal component impossible~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'deafened'}
Silent Image~PHB~1~I~create image object creature visible phenomenon large 15foot cube image appear spot within range last duration image purely visual isnt accompany sound smell sensory effect use action cause image move spot within range image change location alter appearance movement appear natural image example create image creature move alter image appear walk physical interaction image reveals illusion thing pass creature use action examine image determine illusion successful intelligence skill investigation check spell save dc creature discern illusion creature see image~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Simulacrum~PHB~7~I~shape illusory duplicate one beast humanoid within range entire casting time spell duplicate creature partially real form ice snow take action otherwise affect normal creature appear original half creature hit point maximum form without equipment otherwise illusion use statistic creature duplicate except construct simulacrum friendly creature designate obeys speak command move act accordance wish act turn combat simulacrum lack ability learn become powerful never increase level ability regain expend spell slot simulacrum damage repair alchemical laboratory use rare herbs mineral worth 100 gp per hit point regains simulacrum last drop 0 hit point point reverts snow melt instantly cast spell currently active duplicate create spell instantly destroy~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Sleep~PHB~1~E~spell sends creatures magical slumber roll dice total many hit point creature spell affect creature within 20 foot point choose within range affect ascend order current hit point ignore condition unconscious creature start creature low current hit point creature affect spell fall condition unconscious spell end sleeper take damage someone use action shake slap sleeper awake subtract creature hit point total moving creature next lowest hit point creature hit point must equal less remain total creature affect undead creature immune condition unconscious arent affect spell~{'dice': ['5d8'], 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'unconscious'}
Sleet Storm~PHB~3~C~spell end freeze rain sleet fall 20foottall cylinder 40foot radius center point choose within range area quickref vision lightphb2heavily obscure expose flame area douse ground area cover slick ice make quickref difficult terrain3 creature enters spell area first time turn start turn must make dexterity save throw fail save fall condition prone creature start turn spell area status concentrationconcentrating spell creature must make successful constitution save throw spell save dc lose status concentration~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Constitution', 'conditions': 'prone'}
Slow~PHB~3~T~alter time around six creature choice 40foot cube within range target must succeed wisdom save throw affect spell duration affect target speed halve take 2 penalty ac dexterity save throw cant use reaction turn use either action bonus action regardless creatures ability magic item cant make one melee range attack turn creature attempt cast spell casting time 1 action roll dice d20 11 high spell doesnt take effect creature next turn creature must use action turn complete spell cant spell waste creature affect spell make another wisdom save throw end turn successful save effect end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Wisdom', 'conditions': 'None'}
Spare the Dying~PHB~0~N~touch living creature 0 hit point creature become stable spell effect undead construct~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Speak with Animals~PHB~1~D~gain ability comprehend verbally communicate beast duration knowledge awareness many beast limit intelligence minimum beast give information nearby location monster include whatever perceive perceive within past day might able persuade beast perform small favor dm discretion~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Speak with Dead~PHB~3~N~grant semblance life intelligence corpse choice within range allow answer question pose corpse must still mouth cant undead spell fail corpse target spell within last 10 day spell end ask corpse five question corpse know knew life include language know answer usually brief cryptic repetitive corpse compulsion offer truthful answer hostile recognize enemy spell doesnt return creature soul body animate spirit thus corpse cant learn new information doesnt comprehend anything happen since die cant speculate future event~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Speak with Plants~PHB~3~T~imbue plant within 30 foot limited sentience animation give ability communicate follow simple command question plant event spell area within past day gain information creature pass weather circumstance also turn quickref difficult terrain3 cause plant growth thicket undergrowth ordinary terrain last duration turn ordinary terrain plant present quickref difficult terrain3 last duration cause vine branch hinder pursuer example plant might able perform task behalf dms discretion spell doesnt enable plant uproot move freely move branch tendrils stalk plant creature area communicate share common language gain magical ability influence spell cause plant create spell entangle spell release condition restrain creature~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'restrained'}
Spider Climb~PHB~2~T~spell end one willing creature touch gain ability move across vertical surface upside along ceiling leave hand free target also gain climb speed equal walking speed~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Spike Growth~PHB~2~T~ground 20foot radius center point within range twist sprout hard spike thorn area become quickref difficult terrain3 duration creature move within area take damage pierce damage every 5 foot travels transformation ground camouflage look natural creature cant see area time spell cast must make wisdom skill perception check spell save dc recognize terrain hazardous enter~{'dice': 'None', 'damage': ['2d4'], 'saving_throw_types': 'None', 'conditions': 'None'}
Spirit Guardians~PHB~3~C~call forth spirit protect flit around distance 15 foot duration good neutral spectral form appear angelic fey choice evil appear fiendish cast spell designate number creature see unaffected affected creature speed halved area creature enters area first time turn start turn must make wisdom save throw fail save creature take damage radiant damage good neutral damage necrotic damage evil successful save creature take half much damage~{'dice': 'None', 'damage': ['3d8', '3d8'], 'saving_throw_types': 'Wisdom', 'conditions': 'None'}
Spiritual Weapon~PHB~2~V~create float spectral weapon within range last duration cast spell cast spell make melee spell attack creature within 5 foot weapon hit target take force damage equal damage spellcasting ability modifier bonus action turn move weapon 20 foot repeat attack creature within 5 foot weapon take whatever form choose cleric deity associate particular weapon st cuthbert know mace thor hammer make spell effect resemble weapon~{'dice': 'None', 'damage': ['1d8'], 'saving_throw_types': 'None', 'conditions': 'None'}
Staggering Smite~PHB~4~V~next time hit creature melee weapon attack spell duration weapon pierce body mind attack deal extra damage psychic damage target target must make wisdom save throw fail save disadvantage attack roll ability check cant take reaction end next turn~{'dice': 'None', 'damage': ['4d6'], 'saving_throw_types': 'Wisdom', 'conditions': 'None'}
Stinking Cloud~PHB~3~C~create 20footradius sphere yellow nauseate gas center point within range cloud spread around corner area quickref vision lightphb2heavily obscure cloud lingers air duration creature completely within cloud start turn must make constitution save throw poison fail save creature spend action turn retch reel creature dont need breathe immune poison automatically succeed save throw moderate wind least 10 mile per hour disperses cloud 4 round strong wind least 20 mile per hour disperses 1 round~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'this', 'conditions': 'None'}
Stone Shape~PHB~4~T~touch stone object medium size small section stone 5 foot dimension form shape suit purpose example could shape large rock weapon idol coffer make small passage wall long wall less 5 foot thick could also shape stone door frame seal door shut object create two hinge latch finer mechanical detail isnt possible~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Stoneskin~PHB~4~A~spell turn flesh willing creature touch hard stone spell end target resistance nonmagical bludgeoning pierce slashing damage~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Storm of Vengeance~PHB~9~C~churn storm cloud form center point see spread radius 360 foot lightning flash area thunder boom strong wind roar creature cloud 5000 foot beneath cloud appear must make constitution save throw fail save creature take damage thunder damage become condition deafen 5 minute round maintain status concentration spell storm produce different effect turn acidic rain fall cloud creature object cloud take damage acid damage call six bolt lightning cloud strike six creature object choice beneath cloud give creature object cant strike one bolt struck creature must make dexterity save throw creature take damage lightning damage fail save half much damage successful one hailstones rain cloud creature cloud take damage bludgeon damage gust freeze rain assail area cloud area become quickref difficult terrain3 quickref vision lightphb2heavily obscured creature take damage cold damage range weapon attack area impossible wind rain count severe distraction purpose maintain status concentration spell finally gusts strong wind range 20 50 mile per hour automatically disperse fog mist similar phenomenon area whether mundane magical~{'dice': 'None', 'damage': ['2d6', '1d6', '10d6', '2d6', '1d6'], 'saving_throw_types': 'Dexterity', 'conditions': 'deafened'}
Suggestion~PHB~2~E~suggest course activity limited sentence two magically influence creature see within range hear understand creature cant condition charm immune effect suggestion must word manner make course action sound reasonable ask creature stab throw onto spear immolate obviously harmful act end spell target must make wisdom save throw fail save pursues course action describe best ability suggest course action continue entire duration suggest activity complete short time spell end subject finish ask also specify condition trigger special activity duration example might suggest knight give warhorse first beggar meet condition isnt meet spell expire activity isnt perform companion damage target spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'Wisdom', 'conditions': 'charmed'}
Sunbeam~PHB~6~V~beam brilliant light flash hand 5footwide 60footlong line creature line must make constitution save throw fail save creature take damage radiant damage condition blind next turn successful save take half much damage isnt condition blind spell undead oozes disadvantage save throw create new line radiance action turn spell end duration mote brilliant radiance shine hand shed bright light 30foot radius dim light additional 30 foot light sunlight~{'dice': 'None', 'damage': ['6d8'], 'saving_throw_types': 'this', 'conditions': 'blinded'}
Sunburst~PHB~8~V~brilliant sunlight flash 60foot radius center point choose within range creature light must make constitution save throw fail save creature take damage radiant damage condition blind 1 minute successful save take half much damage isnt condition blind spell undead oozes disadvantage save throw creature condition blind spell make another constitution save throw end turn successful save long condition blind spell dispels darkness area create spell~{'dice': 'None', 'damage': ['12d6'], 'saving_throw_types': 'Constitution', 'conditions': 'blinded'}
Swift Quiver~PHB~5~T~transmute quiver produce endless supply nonmagical ammunition seem leap hand reach turn spell end use bonus action make two attack weapon use ammunition quiver time make range attack quiver magically replace piece ammunition use similar piece nonmagical ammunition piece ammunition create spell disintegrate spell end quiver leaf possession spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Symbol~PHB~7~A~cast spell inscribe harmful glyph either surface section floor wall table within object close conceal glyph book scroll treasure chest choose surface glyph cover area surface large 10 foot diameter choose object object must remain place object move 10 foot cast spell glyph break spell end without trigger glyph nearly invisible require intelligence skill investigation check spell save dc find decide trigger glyph cast spell glyph inscribe surface typical trigger include touch step glyph remove another object cover approach within certain distance manipulate object hold glyph inscribe within object common trigger open object approach within certain distance see read glyph refine trigger spell activate certain circumstance accord creature physical characteristic height weight physical kind example ward could set affect hags shapechangers also specify creature dont trigger glyph say certain password inscribe glyph choose one option effect trigger glyph glow fill 60footradius sphere dim light 10 minute time spell end creature sphere glyph activates target effect creature enters sphere first time turn end turn target must make constitution save throw take damage necrotic damage fail save half much damage successful save target must make constitution save throw fail save target bicker argue creature 1 minute time incapable meaningful communication disadvantage attack roll ability check target must make wisdom save throw become condition frighten 1 minute fail save condition frighten target drop whatever hold must move least 30 foot away glyph turn able target must make charisma save throw fail save target overwhelm despair 1 minute time cant attack target creature harmful ability spell magical effect target must make intelligence save throw fail save target drive insane 1 minute insane creature cant take action cant understand creature say cant read speaks gibberish dm control movement erratic target must make constitution save throw become condition frighten excruciate pain 1 minute fail save target must make wisdom save throw fall condition frighten 10 minute fail save creature awaken take damage someone use action shake slap awake target must make wisdom save throw become condition frighten 1 minute fail save~{'dice': 'None', 'damage': ['10d10'], 'saving_throw_types': 'Wisdom', 'conditions': 'frightened'}
Tasha's Hideous Laughter~PHB~1~E~creature choice see within range perceives everything hilariously funny fall fit laughter spell affect target must succeed wisdom save throw fall condition prone become condition prone unable stand duration creature intelligence score 4 less isnt affect end turn time take damage target make another wisdom save throw target advantage save throw trigger damage success spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'the', 'conditions': 'prone'}
Telekinesis~PHB~5~T~gain ability move manipulate creature object think cast spell action round duration exert one creature object see within range cause appropriate effect affect target round round choose new one time switch target prior target longer affected spell try move huge small creature make ability check spellcasting ability contest creature strength check win contest move creature 30 foot direction include upward beyond range spell end next turn creature condition restrain telekinetic grip creature lift upward suspend midair subsequent round use action attempt maintain telekinetic grip creature repeat contest try move object weighs 1000 pound object isnt worn carry automatically move 30 foot direction beyond range spell object wear carried creature must make ability check spellcasting ability contest creature strength check succeed pull object away creature move 30 foot direction beyond range spell exert fine control object telekinetic grip manipulate simple tool open door container stow retrieve item open container pour content vial~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'restrained'}
Telepathy~PHB~8~V~create telepathic link willing creature familiar creature anywhere plane existence spell end target longer plane spell end target instantaneously share word image sound sensory message one another link target recognize creature communicate spell enable creature intelligence score least 1 understand meaning word take scope sensory message send~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Teleport~PHB~7~C~spell instantly transport eight willing creature choice see within range single object see within range destination select target object must able fit entirely inside 10foot cube cant hold carried unwilling creature destination choose must know must plane existence familiarity destination determine whether arrive successfully dm roll dice d100 consults table familiarity mishap similar area target target col8 col1 textcenter nowrap col1 textcenter nowrap col1 textcenter nowrap col1 textcenter nowrap permanent circle 01100 associate object 01100 familiar 0105 0613 1424 25100 see casually 0133 3443 4453 54100 viewed 0143 4453 5473 74100 description 0143 4453 5473 74100 false destination 0150 51100 permanent circle mean permanent teleportation circle whose sigil sequence know associate object mean posse object take desired destination within last six month book wizard library bed linen royal suite chunk marble lichs secret tomb familiar place often place carefully studied place see cast spell see casually someplace see arent familiar view place see possibly use magic description place whose location appearance know someone elses description perhaps map false destination place doesnt exist perhaps try scry enemy sanctum instead view illusion attempt teleport familiar location longer exist group target object appear want group target object appear random distance away destination random direction distance target dice 1d10 1d10 percent distance travel example try travel 120 mile land target roll 5 3 two dice d10s would target 15 percent 18 mile dm determines direction target randomly roll dice d8 designate 1 north 2 northeast 3 east around point compass teleport coastal city wound 18 mile sea could trouble group target object wind different area thats visually thematically similar target area head home laboratory example might wind another wizard laboratory alchemical supply shop many tool implement laboratory generally appear close similar place since spell range limit could conceivably wind anywhere plane spell unpredictable magic result difficult journey teleport creature target object take damage force damage dm rerolls table see wind multiple mishap occur deal damage time~{'dice': 'None', 'damage': ['3d10'], 'saving_throw_types': 'None', 'conditions': 'None'}
Teleportation Circle~PHB~5~C~cast spell draw 10footdiameter circle ground inscribe sigils link location permanent teleportation circle choice whose sigil sequence know plane existence shimmer portal open within circle drew remain open end next turn creature enters portal instantly appear within 5 foot destination circle near unoccupied space space occupy many major temple guild important place permanent teleportation circle inscribe somewhere within confines circle include unique sigil sequencea string magical rune arrange particular pattern first gain ability cast spell learn sigil sequence two destination material plane determine dm learn additional sigil sequence adventure commit new sigil sequence memory study 1 minute create permanent teleportation circle cast spell location every day one year need use circle teleport cast spell way~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Tenser's Floating Disk~PHB~1~C~spell create circular horizontal plane force 3 foot diameter 1 inch thick float 3 foot ground unoccupied space choice see within range disk remain duration hold 500 pound weight place spell end everything disk fall ground disk immobile within 20 foot move 20 foot away disk follow remains within 20 foot move across uneven terrain stair slop like cant cross elevation change 10 foot example disk cant move across 10footdeep pit could leave pit create bottom move 100 foot disk typically cant move around obstacle follow spell end~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Thaumaturgy~PHB~0~T~manifest minor wonder sign supernatural power within range create one follow magical effect within range voice boom three time loud normal 1 minute cause flame flicker brighten dim change color 1 minute cause harmless tremor grind 1 minute create instantaneous sound originate point choice within range rumble thunder cry raven ominous whisper instantaneously cause unlocked door window fly open slam shut alter appearance eye 1 minute cast spell multiple time three 1minute effect active time dismiss effect action~{'dice': 'None', 'damage': 'None', 'saving_throw_types': 'None', 'conditions': 'None'}
Thorn Whip~PHB~0~T~create long vinelike whip cover thorn lash command toward creature range make melee spell attack target attack hit creature take damage pierce damage creature large small pull creature 10 foot closer~{'dice': ['1d6'], 'damage': ['1d6', '2d6', '3d6', '4d6'], 'saving_throw_types': 'None', 'conditions': 'None'}
Thunderous Smite~PHB~1~V~first time hit melee weapon attack spell duration weapon ring thunder audible within 300 foot attack deal extra damage thunder damage target additionally target creature must succeed strength save throw push 10 foot away knock condition prone~{'dice': 'None', 'damage': ['2d6'], 'saving_throw_types': 'Strength', 'conditions': 'prone'}
Thunderwave~PHB~1~V~wave thunderous force sweep creature 15foot cube originate must make constitution save throw fail save creature take damage thunder damage push 10 foot away successful save creature take half much damage isnt push addition unsecured object completely within area effect automatically push 10 foot away spell effect spell emit thunderous boom audible 300 foot~{'dice': 'None', 'damage': ['2d8'], 'saving_throw_types': 'Constitution', 'conditions': 'None'}
